TinhThanh,DTI_Tong,DTI_ChinhQuyenSo,DTI_KinhTeSo,DTI_XaHoiSo,HaTangSo,Nam
TP. Đà Nẵng,0.8002,0.8575,0.7836,0.5197,0.8253,2022
TP. Hồ Chí Minh,0.7163,0.8406,0.7611,0.359,0.8258,2022
Quảng Ninh,0.7024,0.8385,0.5904,0.4505,0.7648,2022
TP. Huế,0.6975,0.8262,0.6787,0.3001,0.6823,2022
TP. Cần Thơ,0.6924,0.7325,0.7556,0.2947,0.7233,2022
Lạng Sơn,0.6837,0.7342,0.6499,0.3678,0.7522,2022
Bắc Ninh,0.6736,0.7193,0.7286,0.319,0.7002,2022
Thái Nguyên,0.6469,0.7779,0.4829,0.2961,0.7453,2022
Bắc Giang,0.644,0.6478,0.7764,0.3348,0.5586,2022
Nam Định,0.639,0.6911,0.6581,0.3648,0.5684,2022
Long An,0.6386,0.7347,0.4758,0.327,0.6105,2022
Bình Phước,0.6385,0.7312,0.5222,0.3505,0.7264,2022
Hải Dương,0.6383,0.7271,0.7499,0.3711,0.7257,2022
TP. Hải Phòng,0.6352,0.6481,0.7469,0.3623,0.5756,2022
Thanh Hóa,0.635,0.6604,0.5924,0.3712,0.5177,2022
Yên Bái,0.635,0.5953,0.6591,0.2853,0.6412,2022
Hậu Giang,0.6342,0.7379,0.5537,0.2984,0.7273,2022
Vĩnh Phúc,0.6341,0.6418,0.7594,0.2555,0.4861,2022
Bình Dương,0.6321,0.7707,0.4193,0.2924,0.7284,2022
Tiền Giang,0.6274,0.6388,0.5691,0.3093,0.6443,2022
Ninh Bình,0.6214,0.7571,0.4707,0.2515,0.7037,2022
Lâm Đồng,0.6209,0.6832,0.6215,0.2913,0.6599,2022
Phú Thọ,0.6126,0.634,0.6151,0.249,0.7453,2022
TP. Hà Nội,0.6098,0.562,0.7615,0.3648,0.6677,2022
Trà Vinh,0.6077,0.635,0.6083,0.324,0.654,2022
Quảng Ngãi,0.6033,0.5978,0.5097,0.2569,0.6805,2022
Ninh Thuận,0.5934,0.6297,0.4967,0.292,0.5783,2022
Bà Rịa - Vũng Tàu,0.5878,0.7487,0.5155,0.2695,0.7673,2022
Bình Định,0.5845,0.6801,0.4253,0.2347,0.6235,2022
Vĩnh Long,0.5824,0.5979,0.4794,0.2485,0.7293,2022
Quảng Nam,0.5808,0.7272,0.4822,0.2757,0.6764,2022
Kiên Giang,0.5796,0.5821,0.511,0.2803,0.6969,2022
Hưng Yên,0.5753,0.5751,0.5411,0.3329,0.5713,2022
Hà Nam,0.5743,0.4703,0.6328,0.2812,0.5157,2022
Điện Biên,0.5735,0.6147,0.4979,0.2725,0.5187,2022
Sóc Trăng,0.5731,0.6232,0.5271,0.2058,0.6465,2022
Hà Tĩnh,0.5676,0.5962,0.5387,0.2923,0.6283,2022
Lào Cai,0.5652,0.6097,0.4435,0.2687,0.4454,2022
Đồng Tháp,0.5649,0.6519,0.4454,0.3301,0.5362,2022
Tây Ninh,0.5638,0.66,0.5612,0.1089,0.6255,2022
Khánh Hòa,0.5576,0.481,0.6,0.261,0.619,2022
Hòa Bình,0.5548,0.6506,0.6013,0.2046,0.5699,2022
Đồng Nai,0.5507,0.4579,0.526,0.3115,0.6957,2022
Sơn La,0.5478,0.5357,0.5498,0.2481,0.6649,2022
Kon Tum,0.5438,0.6117,0.4964,0.1714,0.6786,2022
Quảng Bình,0.5415,0.4776,0.5436,0.2648,0.4856,2022
Đắk Lắk,0.5408,0.5444,0.621,0.2903,0.6484,2022
Tuyên Quang,0.532,0.5028,0.465,0.3073,0.478,2022
Đắk Nông,0.5266,0.4485,0.5403,0.2341,0.6398,2022
Bình Thuận,0.5223,0.4614,0.5227,0.2619,0.5277,2022
Bến Tre,0.5077,0.638,0.5635,0.1915,0.56,2022
Nghệ An,0.5049,0.4711,0.4573,0.2791,0.5963,2022
Lai Châu,0.5032,0.5294,0.5212,0.2459,0.324,2022
An Giang,0.4972,0.4927,0.4862,0.2577,0.5472,2022
Quảng Trị,0.4866,0.4355,0.4954,0.1911,0.5538,2022
Thái Bình,0.4794,0.5544,0.4803,0.1901,0.4579,2022
Hà Giang,0.479,0.4404,0.5119,0.2581,0.5199,2022
Cà Mau,0.4689,0.3888,0.4049,0.1809,0.5116,2022
Phú Yên,0.4679,0.3721,0.499,0.1966,0.5517,2022
Bạc Liêu,0.4478,0.3959,0.5835,0.2087,0.495,2022
Cao Bằng,0.4081,0.3892,0.4534,0.1746,0.4412,2022
Gia Lai,0.4069,0.4101,0.4316,0.1261,0.6199,2022
Bắc Kạn,0.3941,0.3483,0.4554,0.1742,0.4742,2022
TP. Đà Nẵng,0.834,0.879,0.7262,0.5881,0.8362,2023
TP. Hồ Chí Minh,0.802,0.8643,0.819,0.5319,0.8364,2023
TP. Huế,0.766,0.805,0.7589,0.4048,0.7098,2023
Lạng Sơn,0.7601,0.8489,0.6801,0.5005,0.7336,2023
TP. Cần Thơ,0.7468,0.8055,0.6452,0.4617,0.7884,2023
TP. Hà Nội,0.7448,0.6794,0.8667,0.5639,0.6901,2023
Bình Dương,0.7411,0.8304,0.601,0.482,0.7918,2023
TP. Hải Phòng,0.7367,0.7201,0.7516,0.5738,0.7357,2023
Bắc Giang,0.7366,0.7482,0.7439,0.4578,0.6999,2023
Bà Rịa - Vũng Tàu,0.7353,0.8054,0.6055,0.6602,0.8149,2023
Thanh Hóa,0.7314,0.7496,0.6447,0.4501,0.6961,2023
Quảng Ninh,0.7166,0.7662,0.6356,0.5105,0.7291,2023
Bình Phước,0.7157,0.8264,0.435,0.4551,0.8081,2023
Nam Định,0.7149,0.7596,0.7184,0.4522,0.6511,2023
Yên Bái,0.7146,0.7834,0.624,0.3881,0.7129,2023
Thái Nguyên,0.7137,0.7702,0.6673,0.4913,0.7195,2023
Long An,0.7129,0.8535,0.5557,0.3835,0.7755,2023
Bắc Ninh,0.7115,0.8001,0.6425,0.3843,0.7529,2023
Ninh Bình,0.7094,0.7904,0.6549,0.4425,0.7312,2023
Hậu Giang,0.7092,0.8093,0.5399,0.4235,0.7482,2023
Quảng Ngãi,0.7077,0.7599,0.5596,0.4088,0.6531,2023
Trà Vinh,0.7068,0.8264,0.6493,0.3648,0.7383,2023
Tiền Giang,0.7046,0.7546,0.6581,0.4263,0.7667,2023
Điện Biên,0.703,0.8465,0.6647,0.4041,0.6818,2023
Hà Tĩnh,0.6993,0.7807,0.5587,0.4003,0.6656,2023
Hải Dương,0.6929,0.7561,0.6148,0.4327,0.6889,2023
Bình Định,0.6926,0.7986,0.6013,0.3651,0.7082,2023
Lâm Đồng,0.6902,0.7472,0.5923,0.3826,0.743,2023
Hà Nam,0.687,0.7868,0.6513,0.4183,0.6834,2023
Khánh Hòa,0.6869,0.6524,0.6604,0.4994,0.712,2023
Hưng Yên,0.6855,0.7943,0.5553,0.4011,0.6572,2023
Đồng Nai,0.6848,0.6886,0.664,0.4861,0.7273,2023
Tây Ninh,0.6817,0.6882,0.5649,0.4509,0.6745,2023
Lào Cai,0.6783,0.7218,0.6055,0.3975,0.6709,2023
Cà Mau,0.6772,0.7817,0.5198,0.4103,0.6945,2023
Đồng Tháp,0.6768,0.6911,0.5581,0.4137,0.6452,2023
Hà Giang,0.6744,0.586,0.5647,0.4403,0.6133,2023
Tuyên Quang,0.6735,0.7089,0.6197,0.4443,0.6904,2023
Đắk Lắk,0.6734,0.7489,0.6035,0.4147,0.7046,2023
Kiên Giang,0.6717,0.7779,0.5085,0.3318,0.7266,2023
Quảng Nam,0.6641,0.8404,0.5343,0.3701,0.6928,2023
Nghệ An,0.6619,0.6599,0.5355,0.4354,0.6924,2023
Phú Thọ,0.6616,0.8065,0.5573,0.363,0.7149,2023
Vĩnh Phúc,0.6598,0.6172,0.6278,0.3661,0.636,2023
Sóc Trăng,0.6584,0.7364,0.5042,0.4207,0.7089,2023
Quảng Bình,0.657,0.6317,0.5808,0.3873,0.6151,2023
Vĩnh Long,0.6567,0.6885,0.5451,0.3709,0.7461,2023
Ninh Thuận,0.6552,0.8242,0.4615,0.3923,0.7625,2023
Sơn La,0.6538,0.6501,0.5909,0.4205,0.6127,2023
Kon Tum,0.6518,0.7429,0.5311,0.3053,0.6849,2023
Bình Thuận,0.6386,0.6481,0.4938,0.3588,0.5991,2023
Thái Bình,0.6205,0.7097,0.5601,0.3869,0.6353,2023
Bến Tre,0.6203,0.6661,0.5395,0.4015,0.6229,2023
Lai Châu,0.6185,0.6014,0.5069,0.3455,0.5659,2023
Gia Lai,0.6159,0.7552,0.5255,0.3445,0.526,2023
Hòa Bình,0.6154,0.7514,0.6123,0.3567,0.6669,2023
Đắk Nông,0.615,0.5903,0.5671,0.4077,0.6829,2023
Bắc Kạn,0.5964,0.4442,0.6425,0.3525,0.5361,2023
An Giang,0.5582,0.5869,0.5834,0.3553,0.523,2023
Phú Yên,0.5582,0.4558,0.5315,0.3325,0.6059,2023
Quảng Trị,0.5488,0.546,0.4693,0.3058,0.6511,2023
Cao Bằng,0.5249,0.4424,0.5495,0.3381,0.5274,2023
Bạc Liêu,0.5208,0.4954,0.5345,0.3222,0.5236,2023
TP. Hồ Chí Minh,0.8373,0.5988,0.9311,0.6857,1,2024
TP. Đà Nẵng,0.8335,0.8665,0.8486,0.7235,1,2024
TP. Hải Phòng,0.8253,0.7856,0.8879,0.5841,1,2024
TP. Hà Nội,0.8241,0.5661,0.925,0.8127,0.9286,2024
TP. Huế,0.7951,0.7519,0.5617,0.6451,0.9664,2024
Thái Nguyên,0.7924,0.8036,0.5898,0.5462,1,2024
Bà Rịa - Vũng Tàu,0.7774,0.5398,0.7593,0.7568,1,2024
Thanh Hóa,0.7742,0.6306,0.6179,0.5359,0.9544,2024
Điện Biên,0.7651,0.6458,0.5487,0.5637,0.9466,2024
Long An,0.7644,0.6322,0.5417,0.5475,0.9694,2024
Hà Tĩnh,0.7629,0.6331,0.7199,0.5139,0.7529,2024
Bình Phước,0.7617,0.4376,0.6589,0.8633,0.9643,2024
Bắc Giang,0.7583,0.5553,0.7526,0.6281,0.8061,2024
Yên Bái,0.7583,0.6657,0.7362,0.4647,0.881,2024
Nam Định,0.7523,0.7235,0.4239,0.7003,0.8816,2024
TP. Cần Thơ,0.7505,0.5894,0.5246,0.6688,0.8929,2024
Quảng Ninh,0.7484,0.4088,0.7325,0.6025,1,2024
Lạng Sơn,0.748,0.5569,0.7101,0.3685,1,2024
Hải Dương,0.7461,0.4894,0.6347,0.6664,0.9796,2024
Vĩnh Phúc,0.7389,0.6237,0.7297,0.5989,0.8211,2024
Bắc Ninh,0.7364,0.4126,0.8429,0.6551,0.9643,2024
Lâm Đồng,0.7331,0.6385,0.5189,0.6246,0.9816,2024
Kiên Giang,0.7313,0.7602,0.4223,0.4567,0.9321,2024
Hà Nam,0.7312,0.7841,0.5477,0.7901,0.9151,2024
Hà Giang,0.7292,0.5946,0.6445,0.5177,0.7321,2024
Cà Mau,0.7277,0.7579,0.3483,0.4995,0.9617,2024
Nghệ An,0.7184,0.4967,0.4196,0.6106,0.9561,2024
Quảng Ngãi,0.7166,0.5381,0.6883,0.5304,0.7137,2024
