TenTinh,dan so,dan so thanh thi,grdp_binh quan,nam
Hà Nội,8435.7,4138.5,141.6,2022
Vĩnh Phúc,1197.6,366.2,127.1,2022
Bắc Ninh,1488.2,554.6,169.1,2022
Quảng Ninh,1362.9,916.6,197.7,2022
Hải Dương,1946.8,618.1,87.5,2022
Hải Phòng,2088,951.8,173.5,2022
Hưng Yên,1290.9,217.4,102.3,2022
Thái Bình,1878.5,220.9,57.7,2022
Hà Nam,878,246,86.9,2022
Nam Định,1876.9,380.5,48.1,2022
Ninh Bình,1010.7,218.4,79.6,2022
Hà Giang,892.7,142.3,33.7,2022
Cao Bằng,543.1,138.5,38.7,2022
Bắc Kạn,324.4,73.6,46.8,2022
Tuyên Quang,805.8,120.5,50.6,2022
Lào Cai,770.6,206.5,86,2022
Yên Bái,847.2,176.6,47.9,2022
Thái Nguyên,1336,525.6,110,2022
Lạng Sơn,802.1,185.9,52.1,2022
Bắc Giang,1890.9,370.3,84.1,2022
Phú Thọ,1516.9,293.5,59.6,2022
Điện Biên,635.9,96.7,39.6,2022
Lai Châu,482.1,85.3,50.2,2022
Sơn La,1300.1,181.8,49.6,2022
Hòa Bình,875.4,222.6,66.8,2022
Thanh Hóa,3722.1,1029.9,68.1,2022
Nghệ An,3420,530.4,51.6,2022
Hà Tĩnh,1323.7,298,71.2,2022
Quảng Bình,913.9,211.7,54.9,2022
Quảng Trị,650.9,212.6,65,2022
Thừa Thiên - Huế,1160.2,612.8,57,2022
Đà Nẵng,1220.2,1067.1,102,2022
Quảng Nam,1519.4,407.4,78.7,2022
Quảng Ngãi,1245.6,272.2,99.1,2022
Bình Định,1504.3,619.6,70.9,2022
Phú Yên,876.6,286.7,57.1,2022
Khánh Hòa,1254,531.2,77.2,2022
Ninh Thuận,598.7,212.3,77.3,2022
Bình Thuận,1252.1,483.3,79.6,2022
Kon Tum,579.9,188.5,54,2022
Gia Lai,1591,466.7,53.3,2022
Đắk Lắk,1918.4,478.3,57.3,2022
Đắk Nông,670.6,112.4,59.4,2022
Lâm Đồng,1332.5,523.6,77.8,2022
Bình Phước,1034.7,304,87.3,2022
Tây Ninh,1188.8,386.7,86.6,2022
Bình Dương,2763.1,2327.4,165.3,2022
Đồng Nai,3255.8,1470.3,129.2,2022
Bà Rịa - Vũng Tàu,1178.7,711.9,357.2,2022
TP. Hồ Chí Minh,9389.7,7297.9,159.4,2022
Long An,1734.3,318.6,90.3,2022
Tiền Giang,1785.2,271.9,62.6,2022
Bến Tre,1298,133,49,2022
Trà Vinh,1019.3,184.9,71.8,2022
Vĩnh Long,1028.8,233.9,68.9,2022
Đồng Tháp,1600.2,323.9,61.7,2022
An Giang,1905.5,644.8,52.4,2022
Kiên Giang,1751.8,522.7,66.3,2022
Cần Thơ,1252.3,882.9,87,2022
Hậu Giang,729.5,205,66.3,2022
Sóc Trăng,1197.8,405.6,55.1,2022
Bạc Liêu,921.8,255.9,60.1,2022
Cà Mau,1207.6,275.8,61.1,2022
Hà Nội,8587.1,4213,150.3,2023
Vĩnh Phúc,1211.3,411,130,2023
Bắc Ninh,1517.4,770.7,148.3,2023
Quảng Ninh,1381.2,959.4,227.1,2023
Hải Dương,1956.9,620,95.8,2023
Hải Phòng,2105,960.6,187.9,2023
Hưng Yên,1301,221,112.5,2023
Thái Bình,1882.3,221.7,63.3,2023
