TinhThanh,TongDiem_DVC,CongKhaiMinhBach,TienDoGiaiQuyet,DichVuTrucTuyen,MucDoHaiLong,SoHoaHoSo,Nam
UBND tỉnh Khánh Hòa,65.06,9.24,19.05,6.9,17.68,12.19,2022
UBND tỉnh Ninh Bình,61.56,7.23,19.59,5.53,18,11.21,2022
UBND Thành phố Hồ Chí Minh,59.84,3.92,19.4,3.54,17.73,15.25,2022
UBND tỉnh Lào Cai,59.83,11.28,19.48,5.05,17.46,6.56,2022
UBND tỉnh Tây Ninh,59.21,7.47,19.27,5.16,17.7,9.61,2022
UBND tỉnh Cà Mau,58.9,8.15,19.16,5.55,17.79,8.25,2022
UBND tỉnh Thái Nguyên,58.85,8.45,18.65,5.66,17.88,8.21,2022
UBND tỉnh Lai Châu,58.84,9.2,19.36,5.45,18,6.83,2022
UBND tỉnh Lâm Đồng,58.56,7.56,18.85,7.13,17.94,7.08,2022
UBND Thành phố Huế,58.43,9.34,16.49,5.79,16.97,9.84,2022
UBND tỉnh Quảng Ninh,57.67,5.87,19.08,5.58,17.76,9.38,2022
UBND tỉnh Hà Tĩnh,57.01,7.14,17.81,5.64,15.57,10.85,2022
UBND Thành phố Đà Nẵng,56.32,7.71,17.3,5.82,16.3,9.19,2022
UBND tỉnh Lạng Sơn,55.69,7.56,19.22,4.16,16.16,8.59,2022
UBND tỉnh Tuyên Quang,55.46,5.65,18.71,4.92,18,8.18,2022
UBND tỉnh Điện Biên,55.45,6.75,19.42,4.6,18,6.68,2022
UBND tỉnh Đồng Nai,55.16,11.19,19.23,3.28,15.81,5.65,2022
UBND tỉnh Quảng Ngãi,54.8,7.28,18.99,6.17,17.19,5.17,2022
UBND tỉnh Phú Thọ,54.64,7.05,19.5,4.38,17.21,6.5,2022
UBND tỉnh Hưng Yên,54.62,7.66,19.41,4.44,18,5.11,2022
UBND tỉnh Thanh Hóa,54.41,9.79,16.36,4.72,16.21,7.33,2022
UBND tỉnh Đồng Tháp,54.35,8.88,18.72,3.79,17.58,5.38,2022
UBND Thành phố Cần Thơ,53.91,8.69,16.4,5.39,16.93,6.5,2022
UBND Thành phố Hải Phòng,53.71,7.67,19.69,2.79,17.24,6.32,2022
UBND tỉnh Đắk Lắk,53.26,8.35,18.9,3.53,17.58,4.9,2022
UBND tỉnh Quảng Trị,53.2,9.04,17,3.56,15.42,8.18,2022
UBND tỉnh Bắc Ninh,52.6,3.98,18.46,6.96,17.06,6.14,2022
UBND tỉnh Sơn La,52.38,8.07,19.4,2.99,18,3.92,2022
UBND tỉnh An Giang,51.23,6,19.03,4.4,17.82,3.98,2022
UBND tỉnh Gia Lai,51.1,7.55,18.55,2.13,17.52,5.35,2022
UBND tỉnh Vĩnh Long,50.71,6.79,18.37,3.98,17.76,3.81,2022
UBND tỉnh Nghệ An,50.69,5.63,18.31,3.17,17.31,6.27,2022
UBND tỉnh Cao Bằng,50.69,6.67,19.49,3.04,16.02,5.47,2022
UBND Thành phố Hà Nội,49.45,6.07,18.97,2.83,16.43,5.15,2022
UBND tỉnh Cà Mau,89.64,17.3,16.7,18.35,17.39,19.9,2023
UBND tỉnh Thái Nguyên,87.04,14.82,18.91,17.83,17.72,17.76,2023
UBND tỉnh Lâm Đồng,83.05,15.31,18.44,16.69,17.52,15.09,2023
UBND tỉnh Lào Cai,81.56,14.27,18.9,16.02,17.76,14.61,2023
UBND tỉnh Tuyên Quang,79.45,13.67,18.2,15.74,17.88,13.96,2023
UBND tỉnh Lai Châu,78.39,17.23,18.91,12.7,18,11.55,2023
UBND tỉnh Ninh Bình,77.37,16.05,19.17,9.02,18,15.13,2023
