TinhThanh,So_TTHC,so_tthc_du_dieu_kien_cung_cap_dvc_toan_trinh,so_tthc_da_cung_cap_dvc_truc_tuyen_toan_trinh,so_tthc_da_cung_cap_dvc_truc_tuyen_mot_phan,so_tthc_chua_cung_cap_dvctt
Lai Châu,2.154,1.083,288,855,1.011
Ninh Bình,2.159,1.076,979,965,215
Hưng Yên,2.163,1.102,1.002,1.046,115
Quảng Trị,2.209,1.105,934,763,512
Khánh Hòa,2.168,1.068,593,1.29,285
Thanh Hóa,2.288,1.117,1.03,1.146,112
Đồng Tháp,2.093,1.087,1.013,884,196
Tuyên Quang,2.318,1.115,827,1.312,179
An Giang,2.183,1.094,999,1.019,165
Nghệ An,2.18,1.103,889,1.172,119
Lâm Đồng,2.266,1.112,894,1.293,79
Vĩnh Long,2.166,1.083,1.024,1.087,55
Đăk Lăk,2.176,1.088,844,1.18,152
TP.Hải Phòng,2.253,1.13,806,1.193,254
Đồng Nai,2.157,1.092,772,1.297,88
Quảng Ninh,2.256,1.13,1.089,1.117,50
Thái Nguyên,2.127,1.062,1.021,1.042,64
Thanh Hóa,2.227,1.101,977,1.159,91
Cao Bằng,2.106,1.032,630,1.164,312
Bắc Ninh,2.173,1.069,1.046,1.085,42
Tây Ninh,2.111,1.081,753,1.215,143
Sơn La,2.131,1.038,378,1.563,190
Phú Thọ,2.152,1.099,1.078,987,87
TP. Hồ Chí Minh,2.297,1.146,944,1.085,268
Lạng Sơn,2.037,1.007,509,1.243,285
Thanh Hóa,2.148,1.077,816,1.283,49
TP. Hà Nội,2.115,1.055,759,1.25,106
Cà Mau,2.234,1.096,1.081,1.138,15
Phú Thọ,2.258,1.12,1.078,1.104,76
Điện Biên,2.123,1.064,693,1.384,46
Gia Lai,2.205,1.092,1.086,1.113,6
Lào Cai,2.202,1.08,853,1.252,97
Quảng Ngãi,2.259,1.122,993,1.102,164
TP.Đà Nẵng,2.218,1.093,1.036,1.086,96
