TinhThanh,DTI_Tong,DTI_ChinhQuyenSo,DTI_KinhTeSo,DTI_XaHoiSo,HaTangSo,Nam,DanSo,GRDP_BinhQuan,TyLeThanhThi,TongDiem_DVC,CongKhaiMinhBach,TienDoGiaiQuyet,DichVuTrucTuyen,MucDoHaiLong,SoHoaHoSo
TP.Đà Nẵng,0.8002,0.8575,0.7836,0.5197,0.8253,2022,1220.2,102,87.45287658,56.32,7.71,17.3,5.82,16.3,9.19
TP. Hồ Chí Minh,0.7163,0.8406,0.7611,0.359,0.8258,2022,9389.7,159.4,77.72239795,59.84,3.92,19.4,3.54,17.73,15.25
Quảng Ninh,0.7024,0.8385,0.5904,0.4505,0.7648,2022,1362.9,197.7,67.2536503,57.67,5.87,19.08,5.58,17.76,9.38
Thừa Thiên Huế,0.6975,0.8262,0.6787,0.3001,0.6823,2022,1160.2,57,52.81847957,58.43,9.34,16.49,5.79,16.97,9.84
Cần Thơ,0.6924,0.7325,0.7556,0.2947,0.7233,2022,1252.3,87,70.50227581,53.91,8.69,16.4,5.39,16.93,6.5
Lạng Sơn,0.6837,0.7342,0.6499,0.3678,0.7522,2022,802.1,52.1,23.17666126,55.69,7.56,19.22,4.16,16.16,8.59
Bắc Ninh,0.6736,0.7193,0.7286,0.319,0.7002,2022,1488.2,169.1,37.26649644,52.6,3.98,18.46,6.96,17.06,6.14
Thái Nguyên,0.6469,0.7779,0.4829,0.2961,0.7453,2022,1336,110,39.34131737,58.85,8.45,18.65,5.66,17.88,8.21
TP.Hải Phòng,0.6352,0.6481,0.7469,0.3623,0.5756,2022,2088,173.5,45.58429119,53.71,7.67,19.69,2.79,17.24,6.32
Thanh Hóa,0.635,0.6604,0.5924,0.3712,0.5177,2022,3722.1,68.1,27.66986379,54.41,9.79,16.36,4.72,16.21,7.33
Ninh Bình,0.6214,0.7571,0.4707,0.2515,0.7037,2022,1010.7,79.6,21.60878599,61.56,7.23,19.59,5.53,18,11.21
Lâm Đồng,0.6209,0.6832,0.6215,0.2913,0.6599,2022,1332.5,77.8,39.2945591,58.56,7.56,18.85,7.13,17.94,7.08
Phú Thọ,0.6126,0.634,0.6151,0.249,0.7453,2022,1516.9,59.6,19.34867163,54.64,7.05,19.5,4.38,17.21,6.5
TP.Hà Nội,0.6098,0.562,0.7615,0.3648,0.6677,2022,8435.7,141.6,49.05935488,49.45,6.07,18.97,2.83,16.43,5.15
Quảng Ngãi,0.6033,0.5978,0.5097,0.2569,0.6805,2022,1245.6,99.1,21.85292229,54.8,7.28,18.99,6.17,17.19,5.17
Vĩnh Long,0.5824,0.5979,0.4794,0.2485,0.7293,2022,1028.8,68.9,22.73522551,50.71,6.79,18.37,3.98,17.76,3.81
Hưng Yên,0.5753,0.5751,0.5411,0.3329,0.5713,2022,1290.9,102.3,16.84096367,54.62,7.66,19.41,4.44,18,5.11
Điện Biên,0.5735,0.6147,0.4979,0.2725,0.5187,2022,635.9,39.6,15.20679352,55.45,6.75,19.42,4.6,18,6.68
Hà Tĩnh,0.5676,0.5962,0.5387,0.2923,0.6283,2022,1323.7,71.2,22.51265392,57.01,7.14,17.81,5.64,15.57,10.85
Lào Cai,0.5652,0.6097,0.4435,0.2687,0.4454,2022,770.6,86,26.7973008,59.83,11.28,19.48,5.05,17.46,6.56
Đồng Tháp,0.5649,0.6519,0.4454,0.3301,0.5362,2022,1600.2,61.7,20.24121985,54.35,8.88,18.72,3.79,17.58,5.38
Tây Ninh,0.5638,0.66,0.5612,0.1089,0.6255,2022,1188.8,86.6,32.52860027,59.21,7.47,19.27,5.16,17.7,9.61
Khánh Hòa,0.5576,0.481,0.6,0.261,0.619,2022,1254,77.2,42.36044657,65.06,9.24,19.05,6.9,17.68,12.19
Đồng Nai,0.5507,0.4579,0.526,0.3115,0.6957,2022,3255.8,129.2,45.15940783,55.16,11.19,19.23,3.28,15.81,5.65
Sơn La,0.5478,0.5357,0.5498,0.2481,0.6649,2022,1300.1,49.6,13.98353973,52.38,8.07,19.4,2.99,18,3.92
